Fresh feed flow,Ambient temperature,Feed temperature,Reactor pressure,Regenerator pressure,Furnace temperature,Reactor feed temperature,Regenerator temperature,Catalyst level,Stack gas temperature,Stack gas CO content (ppm),regenerature temperature controller valve opening,Reactor feed temperature controller valve opening,Reactor temperature controller valve opening,Ampearage combustion air blower,Ampearage wet gas blower,Furnace fuel flowrate,Combustion air flowrate,LPG flowrate,Light cycle oil flowrate,Reflux flowrate,Overhead fractionator temperature,Fractionator temperature controller valve opening
164.83,75.24,460.85,34.4,28,1563.3,616,1250,29.664,1255.3,29889,24.597,57.886,45.29,277.69,198.86,1988.8,3730.3,2936.6,1643.2,2942,310.8,49.455
164.94,75.282,461.02,34.4,28,1563,616,1250,29.641,1255.3,29891,24.599,57.854,45.309,277.73,198.91,1987.8,3730.3,2937.4,1642.9,2941.8,310.81,49.45
164.93,75.291,461.21,34.4,28,1561.8,616.01,1250,29.636,1255.3,29896,24.6,57.769,45.312,277.74,198.92,1984.8,3730.4,2937.5,1642.5,2941.6,310.82,49.445
164.97,75.311,461.34,34.4,28,1561.2,616.01,1250,29.626,1255.3,29901,24.603,57.723,45.32,277.77,198.94,1983.3,3730.6,2937.9,1642.1,2941.4,310.83,49.441
165.06,75.346,461.17,34.4,28,1562.8,615.99,1250,29.607,1255.3,29907,24.61,57.839,45.339,277.83,198.98,1987.2,3731.1,2938.8,1641.6,2941.5,310.85,49.44
165.14,75.377,461.11,34.4,28,1563.7,615.99,1250,29.589,1255.3,29914,24.621,57.9,45.357,277.9,199.04,1989.3,3731.9,2939.8,1641.2,2941.9,310.87,49.444
165.04,75.36,461.07,34.4,28,1563.3,616,1250,29.604,1255.2,29920,24.628,57.875,45.346,277.92,199.04,1988.5,3732.6,2939.7,1640.7,2942.3,310.88,49.448
164.99,75.357,461.12,34.4,28,1562.6,616,1250,29.616,1255.2,29925,24.632,57.83,45.338,277.94,199.05,1986.9,3733,2939.9,1640.3,2942.7,310.88,49.453
164.97,75.365,461.31,34.4,28,1561.4,616.01,1250,29.624,1255.2,29926,24.636,57.74,45.333,277.96,199.07,1983.8,3733.3,2940.3,1640.1,2943.2,310.89,49.46
165.04,75.397,461.34,34.4,28,1561.6,616,1250,29.616,1255.2,29926,24.642,57.755,45.344,278.01,199.13,1984.3,3733.7,2941.3,1640,2943.8,310.91,49.468
164.97,75.391,461.18,34.4,28,1562.2,616,1250,29.629,1255.2,29924,24.645,57.797,45.334,278.02,199.13,1985.8,3734,2941.4,1639.9,2944.3,310.92,49.474
164.96,75.401,461.1,34.4,28,1562.6,616,1250,29.635,1255.2,29922,24.647,57.826,45.33,278.04,199.16,1986.8,3734.1,2941.8,1640,2944.7,310.93,49.479
165.02,75.431,461.08,34.4,28,1563.1,615.99,1250,29.628,1255.2,29918,24.652,57.862,45.338,278.08,199.21,1988,3734.4,2942.7,1640.1,2945.1,310.95,49.484
165.02,75.444,460.97,34.4,28,1563.8,615.99,1250,29.629,1255.2,29915,24.656,57.911,45.338,278.11,199.24,1989.7,3734.8,2943.2,1640.3,2945.5,310.96,49.488
165.05,75.462,460.79,34.4,28,1565,615.99,1250,29.628,1255.2,29912,24.662,57.998,45.341,278.14,199.27,1992.7,3735.2,2943.9,1640.5,2945.9,310.98,49.491
165.03,75.469,460.92,34.4,28,1564.1,616,1250,29.635,1255.2,29909,24.665,57.937,45.337,278.16,199.3,1990.6,3735.5,2944.3,1640.7,2946.2,310.99,49.494
165.07,75.491,461.02,34.4,28,1563.7,616,1250,29.633,1255.2,29906,24.67,57.909,45.341,278.2,199.34,1989.6,3735.8,2945.1,1641,2946.6,311.01,49.498
165.11,75.514,460.87,34.4,28,1564.9,615.99,1250,29.63,1255.2,29904,24.677,57.992,45.347,278.25,199.39,1992.5,3736.3,2946,1641.4,2947.1,311.03,49.504
165.08,75.517,460.69,34.4,28,1565.8,615.99,1250,29.638,1255.2,29901,24.682,58.058,45.342,278.27,199.42,1994.8,3736.7,2946.5,1641.6,2947.6,311.04,49.509
165.16,75.55,460.61,34.4,28,1566.8,615.99,1250,29.629,1255.2,29899,24.689,58.131,45.354,278.33,199.49,1997.2,3737.3,2947.7,1641.9,2948.3,311.07,49.517
165.19,75.565,460.58,34.4,28,1567.2,615.99,1249.9,29.63,1255.2,29897,24.698,58.156,45.356,278.38,199.54,1998.1,3737.9,2948.7,1642,2949.2,311.09,49.527
165.14,75.565,460.59,34.4,28,1566.9,616,1249.9,29.643,1255.2,29895,24.704,58.135,45.349,278.4,199.57,1997.4,3738.5,2949.2,1642.1,2950,311.11,49.538
165.17,75.582,460.56,34.4,28,1567.2,616,1249.9,29.646,1255.2,29892,24.711,58.158,45.349,278.44,199.63,1998.2,3739,2950.2,1642.2,2950.9,311.13,49.55
165.13,75.584,460.61,34.4,28,1566.6,616,1249.9,29.659,1255.2,29889,24.715,58.118,45.341,278.47,199.66,1996.8,3739.4,2950.8,1642.2,2951.8,311.14,49.562
165.12,75.593,460.72,34.4,28,1565.9,616.01,1249.9,29.67,1255.2,29884,24.719,58.067,45.335,278.49,199.71,1995.1,3739.6,2951.5,1642.3,2952.7,311.16,49.574
165.14,75.612,460.59,34.4,28,1566.8,616,1249.9,29.673,1255.3,29879,24.723,58.131,45.335,278.52,199.76,1997.3,3739.9,2952.5,1642.4,2953.7,311.18,49.586
165.08,75.609,460.61,34.4,28,1566.3,616,1249.9,29.689,1255.3,29873,24.724,58.098,45.322,278.52,199.79,1996.1,3740,2953,1642.5,2954.5,311.2,49.597
165.06,75.617,460.66,34.4,28,1565.9,616,1249.9,29.7,1255.3,29867,24.724,58.066,45.314,278.53,199.82,1995,3740,2953.6,1642.7,2955.2,311.22,49.605
165,75.616,460.65,34.4,28,1565.6,616,1250,29.716,1255.3,29859,24.721,58.044,45.3,278.51,199.84,1994.3,3739.7,2953.8,1643,2955.7,311.23,49.611
164.97,75.623,460.92,34.4,28,1563.8,616.01,1250,29.728,1255.3,29852,24.716,57.913,45.29,278.5,199.86,1989.8,3739.3,2954.2,1643.4,2956,311.24,49.615
165.01,75.651,460.95,34.4,28,1563.9,616.01,1250,29.724,1255.3,29845,24.713,57.921,45.293,278.5,199.91,1990,3738.9,2955,1643.9,2956.3,311.26,49.616
164.94,75.647,460.95,34.4,28,1563.4,616.01,1250,29.737,1255.3,29838,24.707,57.887,45.279,278.47,199.91,1988.9,3738.4,2954.9,1644.5,2956.3,311.26,49.615
164.91,75.656,461.06,34.4,28,1562.6,616.01,1250,29.742,1255.3,29833,24.7,57.828,45.271,278.45,199.92,1986.8,3737.8,2955.1,1645,2956.1,311.27,49.611
164.92,75.673,461.03,34.4,28,1562.8,616,1250,29.741,1255.3,29828,24.693,57.841,45.269,278.43,199.94,1987.3,3737.1,2955.4,1645.6,2955.9,311.28,49.605
164.85,75.671,461.07,34.4,28,1562.1,616.01,1250,29.75,1255.3,29824,24.683,57.795,45.257,278.38,199.93,1985.7,3736.3,2955.1,1646.2,2955.5,311.28,49.597
164.87,75.693,460.99,34.4,28,1562.7,616,1250,29.744,1255.3,29821,24.675,57.837,45.259,278.36,199.94,1987.1,3735.5,2955.4,1646.7,2955,311.29,49.588
164.77,75.685,461.25,34.4,28,1560.6,616.01,1250,29.755,1255.3,29819,24.663,57.684,45.244,278.3,199.92,1981.9,3734.5,2954.8,1647,2954.3,311.29,49.576
164.8,75.708,461.29,34.4,28,1560.4,616.01,1250,29.746,1255.3,29818,24.652,57.674,45.246,278.27,199.92,1981.6,3733.5,2954.9,1647.3,2953.5,311.29,49.563
164.83,75.733,461.2,34.4,28,1561.2,616,1250,29.732,1255.3,29818,24.644,57.727,45.253,278.25,199.93,1983.4,3732.7,2955.1,1647.5,2952.8,311.29,49.55
164.77,75.734,461.24,34.4,28,1560.6,616,1250,29.732,1255.3,29821,24.634,57.688,45.247,278.21,199.91,1982,3731.8,2954.6,1647.4,2951.9,311.29,49.536
164.76,75.747,461.23,34.4,28,1560.5,616,1250.1,29.725,1255.3,29824,24.624,57.683,45.247,278.17,199.89,1981.9,3730.9,2954.4,1647.2,2951,311.29,49.521
164.8,75.773,461.02,34.4,28,1562.1,615.99,1250.1,29.707,1255.3,29829,24.616,57.795,45.257,278.16,199.9,1985.7,3730.2,2954.5,1646.9,2950.2,311.29,49.506
164.8,75.786,461.27,34.4,28,1560.6,616.01,1250.1,29.697,1255.3,29835,24.609,57.685,45.261,278.14,199.89,1981.9,3729.5,2954.3,1646.4,2949.4,311.29,49.493
164.71,75.78,461.25,34.4,28,1560.2,616.01,1250.1,29.699,1255.3,29843,24.6,57.659,45.253,278.09,199.85,1981,3728.8,2953.6,1645.9,2948.4,311.28,49.478
164.73,75.8,461.23,34.4,28,1560.4,616,1250.1,29.687,1255.3,29850,24.592,57.673,45.259,278.07,199.84,1981.5,3728,2953.5,1645.3,2947.5,311.28,49.463
164.76,75.822,461.24,34.4,28,1560.5,616,1250.1,29.671,1255.3,29857,24.587,57.678,45.268,278.06,199.84,1981.7,3727.5,2953.4,1644.7,2946.7,311.28,49.45
164.77,75.84,461.29,34.4,28,1560.3,616,1250.1,29.656,1255.3,29866,24.582,57.666,45.276,278.05,199.83,1981.3,3727,2953.3,1644,2945.9,311.28,49.437
164.81,75.861,461.31,34.4,28,1560.4,616,1250.1,29.64,1255.3,29875,24.58,57.669,45.288,278.06,199.83,1981.4,3726.8,2953.4,1643.4,2945.2,311.28,49.425
164.84,75.882,461.25,34.4,28,1560.9,616,1250.1,29.623,1255.3,29886,24.58,57.707,45.299,278.07,199.84,1982.7,3726.7,2953.4,1642.7,2944.6,311.28,49.414
164.91,75.911,461.16,34.4,28,1561.9,615.99,1250.1,29.601,1255.3,29897,24.583,57.777,45.317,278.11,199.86,1985.1,3726.9,2953.9,1642,2944.2,311.29,49.406
164.86,75.909,461.21,34.4,28,1561.3,616,1250,29.6,1255.3,29908,24.585,57.736,45.317,278.12,199.85,1983.7,3727.1,2953.6,1641.3,2943.8,311.29,49.399
164.78,75.9,461.3,34.4,28,1560.3,616.01,1250,29.608,1255.3,29917,24.585,57.662,45.309,278.11,199.82,1981.1,3727.1,2953,1640.7,2943.3,311.28,49.392
164.83,75.927,461.3,34.4,28,1560.6,616,1250,29.595,1255.3,29925,24.587,57.683,45.32,278.14,199.83,1981.9,3727.2,2953.4,1640.3,2943.1,311.28,49.387
164.82,75.937,461.28,34.4,28,1560.7,616,1250,29.591,1255.3,29931,24.589,57.692,45.323,278.15,199.84,1982.2,3727.3,2953.4,1639.9,2942.8,311.29,49.383
164.77,75.937,461.19,34.4,28,1560.9,616,1250,29.595,1255.3,29936,24.589,57.707,45.319,278.16,199.82,1982.7,3727.4,2953.1,1639.6,2942.5,311.28,49.377
164.84,75.967,460.91,34.4,28,1563,615.99,1250,29.581,1255.3,29939,24.593,57.86,45.332,278.19,199.84,1987.9,3727.6,2953.6,1639.4,2942.2,311.29,49.373
164.82,75.975,460.84,34.4,28,1563.3,615.99,1250,29.579,1255.2,29942,24.595,57.882,45.333,278.21,199.84,1988.7,3727.8,2953.5,1639.3,2942,311.29,49.367
164.88,76.001,460.96,34.4,28,1562.9,616,1250,29.568,1255.2,29945,24.6,57.855,45.343,278.25,199.86,1987.8,3728.1,2954,1639.1,2941.7,311.3,49.363
164.9,76.018,460.82,34.4,28,1563.9,615.99,1250,29.561,1255.2,29948,24.606,57.925,45.351,278.29,199.88,1990.2,3728.6,2954.3,1639,2941.6,311.31,49.359
164.98,76.048,460.85,34.4,28,1564.2,615.99,1250,29.547,1255.2,29951,24.615,57.946,45.366,278.35,199.92,1990.9,3729.3,2955,1638.9,2941.6,311.32,49.358
165,76.063,460.67,34.4,28,1565.5,615.99,1250,29.542,1255.2,29954,24.625,58.036,45.373,278.41,199.94,1994,3730.1,2955.5,1638.7,2941.8,311.33,49.359
165.03,76.08,460.51,34.4,28,1566.6,615.99,1250,29.537,1255.2,29957,24.636,58.122,45.381,278.47,199.98,1996.9,3731,2956.1,1638.5,2942.1,311.35,49.362
165,76.08,460.53,34.4,28,1566.3,615.99,1250,29.546,1255.2,29959,24.645,58.099,45.377,278.51,199.99,1996.2,3731.8,2956.4,1638.3,2942.5,311.36,49.367
164.97,76.082,460.6,34.4,28,1565.7,616,1250,29.556,1255.2,29958,24.653,58.057,45.372,278.54,200.01,1994.7,3732.4,2956.7,1638.2,2943,311.36,49.374
165.05,76.114,460.42,34.4,28,1567.3,615.99,1250,29.548,1255.2,29956,24.663,58.171,45.384,278.61,200.07,1998.6,3733.2,2957.8,1638.2,2943.7,311.38,49.383
165.03,76.118,460.4,34.4,28,1567.3,615.99,1250,29.557,1255.2,29954,24.672,58.168,45.381,278.66,200.1,1998.5,3734,2958.3,1638.1,2944.5,311.4,49.393
165.04,76.13,460.32,34.4,28,1567.8,615.99,1249.9,29.563,1255.2,29950,24.681,58.206,45.38,278.7,200.14,1999.8,3734.7,2959,1638,2945.2,311.41,49.403
164.96,76.119,460.55,34.4,28,1566,616.01,1249.9,29.584,1255.2,29944,24.686,58.074,45.364,278.72,200.15,1995.3,3735.1,2959.1,1638,2945.9,311.42,49.412
164.99,76.14,460.48,34.4,28,1566.6,616,1249.9,29.588,1255.2,29937,24.691,58.117,45.365,278.75,200.19,1996.8,3735.5,2959.9,1638.2,2946.5,311.44,49.42
164.98,76.15,460.68,34.4,28,1565.3,616.01,1249.9,29.596,1255.2,29930,24.695,58.027,45.36,278.78,200.23,1993.7,3735.8,2960.5,1638.4,2947.1,311.45,49.428
165,76.167,460.7,34.4,28,1565.4,616,1249.9,29.599,1255.2,29922,24.7,58.027,45.36,278.81,200.27,1993.7,3736.1,2961.2,1638.7,2947.7,311.47,49.435
164.99,76.176,460.69,34.4,28,1565.3,616,1249.9,29.607,1255.2,29914,24.703,58.023,45.356,278.83,200.3,1993.5,3736.4,2961.7,1639,2948.2,311.48,49.441
164.94,76.174,460.58,34.4,28,1565.7,616,1249.9,29.621,1255.2,29906,24.704,58.052,45.344,278.84,200.31,1994.5,3736.5,2961.9,1639.4,2948.6,311.49,49.445
165.02,76.209,460.78,34.4,28,1565,616,1249.9,29.614,1255.2,29898,24.708,57.998,45.353,278.88,200.37,1992.7,3736.7,2963,1639.9,2949,311.51,49.45
165.03,76.222,460.66,34.4,28,1565.8,616,1249.9,29.616,1255.2,29892,24.711,58.056,45.353,278.9,200.41,1994.7,3736.9,2963.7,1640.3,2949.5,311.53,49.455
164.93,76.206,460.81,34.4,28,1564.2,616.01,1250,29.638,1255.2,29885,24.71,57.945,45.334,278.88,200.4,1990.9,3736.9,2963.5,1640.8,2949.7,311.53,49.457
164.94,76.224,460.89,34.4,28,1563.8,616.01,1250,29.642,1255.3,29878,24.709,57.914,45.331,278.89,200.43,1989.8,3736.8,2964.1,1641.3,2950,311.55,49.46
164.92,76.23,460.89,34.4,28,1563.6,616.01,1250,29.65,1255.3,29871,24.707,57.903,45.324,278.89,200.45,1989.4,3736.5,2964.4,1641.8,2950.2,311.56,49.461
164.92,76.245,460.81,34.4,28,1564.1,616,1250,29.652,1255.3,29864,24.705,57.938,45.322,278.89,200.48,1990.6,3736.3,2964.8,1642.2,2950.4,311.57,49.462
165,76.278,460.83,34.4,28,1564.5,616,1250,29.64,1255.3,29859,24.705,57.964,45.332,278.91,200.53,1991.5,3736.2,2965.8,1642.5,2950.7,311.58,49.464
164.98,76.283,460.83,34.4,28,1564.4,616,1250,29.644,1255.3,29856,24.705,57.957,45.328,278.91,200.55,1991.3,3736.2,2966.1,1642.7,2950.9,311.6,49.466
165.06,76.316,460.94,34.4,28,1564.2,616,1250,29.631,1255.3,29854,24.708,57.945,45.34,278.95,200.6,1990.9,3736.3,2967.1,1642.7,2951.2,311.62,49.469
165.08,76.33,460.85,34.4,28,1564.9,616,1250,29.628,1255.3,29854,24.711,57.99,45.344,278.97,200.64,1992.4,3736.5,2967.8,1642.6,2951.7,311.63,49.473
165.02,76.324,460.98,34.4,28,1563.7,616.01,1250,29.639,1255.3,29855,24.712,57.906,45.334,278.97,200.66,1989.5,3736.6,2968,1642.5,2952.1,311.65,49.478
165.12,76.36,461.27,34.4,28,1562.5,616.01,1250,29.627,1255.3,29856,24.716,57.817,45.347,279.02,200.72,1986.5,3736.9,2969.3,1642.3,2952.8,311.67,49.486
165.14,76.375,461.22,34.4,28,1563,616,1250,29.623,1255.3,29858,24.722,57.852,45.352,279.05,200.77,1987.7,3737.3,2970.2,1642.1,2953.6,311.69,49.496
165.17,76.39,461.33,34.4,28,1562.5,616.01,1250,29.621,1255.3,29861,24.728,57.811,45.356,279.09,200.83,1986.3,3737.8,2971.1,1641.9,2954.5,311.71,49.508
165.08,76.379,461.34,34.4,28,1561.9,616.01,1250,29.638,1255.3,29863,24.731,57.772,45.344,279.09,200.85,1984.9,3738.1,2971.4,1641.6,2955.4,311.72,49.519
165.12,76.399,461.35,34.4,28,1562.1,616,1250,29.637,1255.3,29863,24.735,57.784,45.347,279.13,200.9,1985.3,3738.3,2972.4,1641.5,2956.3,311.74,49.532
165.15,76.415,461.27,34.4,28,1562.7,616,1250,29.638,1255.3,29864,24.74,57.83,45.349,279.16,200.96,1986.9,3738.7,2973.4,1641.5,2957.3,311.77,49.545
165.09,76.412,461.3,34.4,28,1562.2,616,1250,29.651,1255.3,29863,24.743,57.796,45.34,279.17,200.99,1985.7,3738.9,2973.9,1641.5,2958.2,311.78,49.558
165.13,76.432,461.14,34.4,28,1563.4,615.99,1250,29.651,1255.3,29861,24.746,57.881,45.342,279.2,201.04,1988.7,3739.2,2974.9,1641.7,2959.2,311.8,49.57
165.15,76.448,461.27,34.4,28,1562.7,616,1250,29.653,1255.3,29860,24.75,57.833,45.343,279.23,201.1,1987,3739.5,2975.8,1641.9,2960.1,311.83,49.581
165.16,76.462,461.48,34.4,28,1561.5,616.01,1250,29.655,1255.3,29859,24.755,57.744,45.343,279.26,201.15,1984,3739.8,2976.8,1642.2,2961,311.85,49.593
165.19,76.479,461.37,34.4,28,1562.4,616,1250,29.656,1255.3,29858,24.76,57.806,45.345,279.29,201.21,1986.1,3740.2,2977.8,1642.5,2961.9,311.87,49.604
165.14,76.477,461.34,34.4,28,1562.3,616,1250,29.669,1255.3,29857,24.763,57.8,45.336,279.3,201.24,1985.9,3740.4,2978.3,1642.9,2962.7,311.89,49.615
165.07,76.47,461.22,34.4,28,1562.6,616,1250,29.687,1255.3,29854,24.763,57.823,45.322,279.3,201.26,1986.7,3740.5,2978.6,1643.4,2963.4,311.9,49.623
165.03,76.473,461.35,34.4,28,1561.5,616.01,1250,29.701,1255.3,29850,24.761,57.746,45.311,279.29,201.28,1984,3740.3,2979,1644,2964,311.92,49.631
164.96,76.468,461.18,34.4,28,1562.1,616,1250,29.719,1255.3,29844,24.756,57.79,45.295,279.27,201.29,1985.5,3739.9,2979.2,1644.7,2964.4,311.93,49.635
164.94,76.479,461.02,34.4,28,1562.9,615.99,1250,29.727,1255.3,29837,24.75,57.852,45.287,279.25,201.32,1987.7,3739.3,2979.5,1645.4,2964.6,311.94,49.637
164.98,76.505,460.76,34.4,28,1564.8,615.98,1250,29.721,1255.3,29830,24.746,57.985,45.29,279.25,201.36,1992.2,3738.9,2980.3,1646,2964.8,311.95,49.637
164.99,76.52,461.05,34.4,28,1563.1,616,1250,29.721,1255.3,29826,24.742,57.861,45.288,279.24,201.38,1988,3738.4,2980.7,1646.5,2964.8,311.96,49.635
165.01,76.537,461.05,34.4,28,1563.2,616,1250,29.717,1255.3,29823,24.738,57.87,45.289,279.23,201.41,1988.3,3738.1,2981.2,1646.9,2964.8,311.98,49.632
165.04,76.559,461.02,34.4,28,1563.6,616,1250,29.709,1255.3,29823,24.736,57.901,45.295,279.24,201.44,1989.4,3737.8,2981.8,1647.1,2964.8,311.99,49.63
165,76.56,460.99,34.4,28,1563.5,616,1250,29.714,1255.3,29823,24.732,57.896,45.289,279.23,201.45,1989.2,3737.5,2981.9,1647.3,2964.7,312,49.626
164.99,76.568,460.95,34.4,28,1563.7,616,1250,29.716,1255.3,29825,24.728,57.906,45.286,279.21,201.47,1989.5,3737.2,2982.1,1647.3,2964.6,312.01,49.623
165,76.585,460.9,34.4,28,1564.1,616,1250,29.711,1255.3,29826,24.725,57.934,45.288,279.21,201.49,1990.5,3736.8,2982.6,1647.3,2964.6,312.02,49.622
165.07,76.613,461.03,34.4,28,1563.7,616,1250,29.698,1255.3,29829,24.725,57.902,45.298,279.23,201.54,1989.4,3736.7,2983.4,1647.1,2964.8,312.04,49.622
165.07,76.625,460.97,34.4,28,1564,616,1250,29.694,1255.3,29834,24.725,57.93,45.301,279.24,201.56,1990.4,3736.7,2983.9,1646.8,2965,312.05,49.623
164.96,76.608,460.9,34.4,28,1563.8,616,1250,29.71,1255.3,29838,24.721,57.916,45.286,279.21,201.55,1989.9,3736.4,2983.5,1646.5,2965.1,312.05,49.623
165,76.63,460.81,34.4,28,1564.6,616,1250,29.703,1255.3,29841,24.719,57.971,45.291,279.22,201.58,1991.8,3736.2,2984.1,1646.2,2965.2,312.06,49.624
164.95,76.629,460.77,34.4,28,1564.5,616,1250,29.71,1255.3,29843,24.715,57.969,45.283,279.2,201.58,1991.7,3735.9,2984.2,1645.9,2965.3,312.07,49.624
165,76.656,460.58,34.4,28,1566,615.99,1250,29.699,1255.3,29846,24.714,58.077,45.292,279.21,201.62,1995.4,3735.7,2984.9,1645.6,2965.5,312.08,49.625
164.99,76.664,460.73,34.4,28,1565,616,1250,29.698,1255.3,29849,24.712,58.003,45.291,279.21,201.64,1992.9,3735.5,2985.1,1645.3,2965.5,312.09,49.625
165.06,76.694,460.7,34.4,28,1565.7,616,1250,29.684,1255.3,29853,24.714,58.048,45.303,279.24,201.68,1994.4,3735.5,2985.9,1645,2965.7,312.11,49.625
165.09,76.712,460.69,34.4,28,1565.9,616,1250,29.675,1255.3,29858,24.716,58.068,45.311,279.26,201.71,1995.1,3735.7,2986.5,1644.8,2965.9,312.12,49.627
165.1,76.722,460.63,34.4,28,1566.3,616,1250,29.672,1255.3,29863,24.72,58.096,45.314,279.29,201.74,1996.1,3735.9,2987,1644.6,2966.2,312.14,49.629
165.04,76.719,460.54,34.4,28,1566.5,616,1250,29.68,1255.3,29869,24.721,58.113,45.308,279.29,201.75,1996.6,3736.1,2987.1,1644.4,2966.4,312.14,49.63
165,76.72,460.57,34.4,28,1566.1,616,1250,29.688,1255.3,29872,24.721,58.081,45.301,279.29,201.76,1995.5,3736.1,2987.2,1644.4,2966.6,312.15,49.632
164.9,76.706,460.56,34.4,28,1565.6,616,1250,29.706,1255.3,29873,24.717,58.045,45.284,279.26,201.74,1994.3,3735.8,2986.9,1644.5,2966.6,312.15,49.632
164.79,76.692,460.38,34.4,28,1565.9,616,1250,29.726,1255.3,29872,24.709,58.077,45.265,279.22,201.72,1995.4,3735.1,2986.4,1644.7,2966.4,312.15,49.628
164.71,76.691,460.32,34.4,28,1565.8,616,1250,29.738,1255.3,29867,24.698,58.07,45.25,279.17,201.7,1995.2,3734.2,2985.9,1645.1,2965.9,312.14,49.621
164.68,76.7,460.43,34.4,28,1565,616.01,1250,29.742,1255.3,29862,24.686,58.009,45.242,279.12,201.68,1993.1,3733.1,2985.6,1645.6,2965.2,312.14,49.609
164.71,76.725,460.49,34.4,28,1564.8,616,1250,29.732,1255.3,29857,24.675,57.993,45.245,279.09,201.68,1992.5,3732.1,2985.6,1646,2964.3,312.14,49.594
164.73,76.747,460.56,34.4,28,1564.5,616,1250.1,29.72,1255.3,29855,24.666,57.972,45.25,279.07,201.67,1991.8,3731.2,2985.4,1646.3,2963.2,312.14,49.576
164.71,76.755,460.49,34.4,28,1564.8,616,1250.1,29.714,1255.3,29854,24.656,57.993,45.248,279.03,201.64,1992.5,3730.4,2984.9,1646.5,2961.9,312.13,49.556
164.67,76.761,460.54,34.4,28,1564.2,616,1250.1,29.711,1255.3,29856,24.645,57.954,45.245,278.99,201.6,1991.2,3729.4,2984.2,1646.7,2960.5,312.12,49.533
